cod_distr;grupo_ipvs;n_pessoas;n_domicilios;n_setor
355030832;Muito Alta Vulnerabilidade;0;0;0
355030833;Baixíssima Vulnerabilidade;616;212;1
355030833;Muito Baixa Vulnerabilidade;29763;10572;51
355030833;Baixa Vulnerabilidade;10254;3541;18
355030833;Média Vulnerabilidade;28615;9851;48
355030833;Alta Vulnerabilidade;44381;15092;73
355030833;Muito Alta Vulnerabilidade;34679;11586;73
355030834;Baixíssima Vulnerabilidade;42278;17748;111
355030834;Muito Baixa Vulnerabilidade;44523;17872;118
355030834;Baixa Vulnerabilidade;9425;3784;25
355030834;Média Vulnerabilidade;3556;1163;5
355030834;Alta Vulnerabilidade;840;334;2
355030834;Muito Alta Vulnerabilidade;13560;5092;23
355030835;Baixíssima Vulnerabilidade;94022;45240;340
355030835;Muito Baixa Vulnerabilidade;4822;1902;16
355030835;Baixa Vulnerabilidade;1312;540;5
355030835;Média Vulnerabilidade;0;0;0
355030835;Alta Vulnerabilidade;300;91;1
355030835;Muito Alta Vulnerabilidade;0;0;0
355030836;Baixíssima Vulnerabilidade;3369;1241;6
355030836;Muito Baixa Vulnerabilidade;64477;22642;125
355030836;Baixa Vulnerabilidade;19111;6665;36
355030836;Média Vulnerabilidade;55614;19160;103
355030836;Alta Vulnerabilidade;42083;14488;75
355030836;Muito Alta Vulnerabilidade;19568;6375;49
355030837;Baixíssima Vulnerabilidade;3642;1417;7
355030837;Muito Baixa Vulnerabilidade;122445;43732;217
355030837;Baixa Vulnerabilidade;33928;12513;54
355030837;Média Vulnerabilidade;18372;6509;33
355030837;Alta Vulnerabilidade;14267;4820;24
355030837;Muito Alta Vulnerabilidade;17595;5895;39
355030838;Baixíssima Vulnerabilidade;40168;17178;138
355030838;Muito Baixa Vulnerabilidade;94564;36631;229
355030838;Baixa Vulnerabilidade;29799;11405;63
355030838;Média Vulnerabilidade;4889;1797;13
355030838;Alta Vulnerabilidade;18425;6596;34
